xltime;trade-price;trade-volume;bid-price;bid-volume;ask-price;ask-volume
2017-01-03 14:30:00.822000-05:00;225.08;1200.0;115.75;1;115.82;297
2017-01-03 14:30:01.581000-05:00;225.07;148.0;115.78333333333335;3;115.82;13
2017-01-03 14:30:01.931000-05:00;225.09;159.0;115.71999999999998;3;115.79666666666667;3
2017-01-03 14:30:04.801000-05:00;225.08;600.0;115.72222222222223;28;115.78999999999999;12
2017-01-03 14:30:15.271000-05:00;225.06;400.0;115.7;10;115.75;3
2017-01-03 14:30:19.850000-05:00;225.0525;500.0;115.56;6;115.69666666666667;4
2017-01-03 14:30:55.930000-05:00;224.96625;4271.0;115.82;3;115.88;1
2017-01-03 14:30:57.530000-05:00;224.97;1000.0;115.86;3;115.9;5
2017-01-03 14:31:05.085000-05:00;224.94;757.0;115.95;3;115.99;8
2017-01-03 14:31:05.309000-05:00;224.94999999999996;259.0;115.94375;24;115.99;32
2017-01-03 14:31:11.250000-05:00;224.9416666666667;1947.0;115.84999999999998;5;115.92;14
2017-01-03 14:31:11.469000-05:00;224.94;100.0;115.85000000000001;3;115.88;7
2017-01-03 14:31:19.976000-05:00;224.885;100.0;115.97;16;115.99600000000001;582
2017-01-03 14:31:21.810000-05:00;224.85;1422.0;115.96;2;115.98;2
2017-01-03 14:31:33.758000-05:00;224.89;1387.0;116.12;3;116.16;5
2017-01-03 14:31:42.009000-05:00;224.87;100.0;116.16;5;116.2;40
2017-01-03 14:31:43.748000-05:00;224.87;700.0;116.2;1;116.24;1
2017-01-03 14:31:43.859000-05:00;224.87;400.0;116.18875;9;116.21374999999999;40
2017-01-03 14:31:44.119000-05:00;224.86;500.0;116.18;4;116.22;9
2017-01-03 14:31:49.049000-05:00;224.84;1300.0;116.19;1;116.2;2
2017-01-03 14:31:51.768000-05:00;224.87;100.0;116.20599999999999;20;116.23999999999998;5
2017-01-03 14:31:52.060000-05:00;224.86;400.0;116.21;1;116.24;1
2017-01-03 14:31:55.178000-05:00;224.8542857142857;3154.0;116.205;4;116.22;4
2017-01-03 14:31:58.588000-05:00;224.8325;2151.0;116.23;19;116.25;70
2017-01-03 14:32:06.188000-05:00;224.86;100.0;116.24;2;116.26;2
2017-01-03 14:32:08.480000-05:00;224.87;100.0;116.25399999999999;7;116.27000000000001;13
2017-01-03 14:32:36.547000-05:00;224.88;2000.0;116.29;7;116.32;3
2017-01-03 14:32:40.714000-05:00;224.86;500.0;116.25;1;116.28;1
2017-01-03 14:32:47.647000-05:00;224.90666666666667;1640.0;116.285;23;116.30875;26
2017-01-03 14:32:53.067000-05:00;224.87;100.0;116.29;4;116.31;3
2017-01-03 14:33:09.296000-05:00;224.89;1300.0;116.21;7;116.24;9
2017-01-03 14:33:09.916000-05:00;224.9;800.0;116.19;29;116.21249999999999;6
2017-01-03 14:33:15.206000-05:00;224.92;900.0;116.14;2;116.15;3
2017-01-03 14:33:20.526000-05:00;224.92999999999998;2856.0;116.14;12;116.16000000000001;9
2017-01-03 14:33:24.151000-05:00;224.93;800.0;116.07;8;116.12;11
2017-01-03 14:33:30.115000-05:00;224.935;100.0;116.06;3;116.08;2
2017-01-03 14:33:41.285000-05:00;224.95;234.0;116.03;2;116.04;3
2017-01-03 14:33:54.065000-05:00;224.96;600.0;116.06;10;116.08;9
2017-01-03 14:33:57.045000-05:00;224.99;900.0;116.08;7;116.12;3
2017-01-03 14:33:58.195000-05:00;224.99;62.0;116.1;1;116.12;2
2017-01-03 14:34:06.544000-05:00;225.01;300.0;116.16;22;116.18;34
2017-01-03 14:34:14.654000-05:00;225.03;2100.0;116.1675;13;116.19;6
2017-01-03 14:34:14.904000-05:00;225.05;100.0;116.18;6;116.2;9
2017-01-03 14:34:14.914000-05:00;225.05;2000.0;116.18;9;116.2;13
2017-01-03 14:34:14.924000-05:00;225.05000000000004;1200.0;116.18;4;116.2;7
2017-01-03 14:34:17.474000-05:00;225.09;200.0;116.21;12;116.24;19
2017-01-03 14:34:20.172000-05:00;225.08;800.0;116.18;12;116.20166666666667;23
2017-01-03 14:34:23.584000-05:00;225.06;148.0;116.17;19;116.18;38
2017-01-03 14:34:24.213000-05:00;225.05000000000004;1315.0;116.16000000000001;106;116.17;24
2017-01-03 14:34:30.054000-05:00;225.05000000000004;1200.0;116.17;2;116.18;4
2017-01-03 14:34:35.043000-05:00;225.07000000000002;1100.0;116.15;3;116.16;1
