xltime,trade-price,trade-volume,bid-price,bid-volume,ask-price,ask-volume
2017-01-03 10:25:40.474000-05:00,224.85,400.0,224.84,100,224.85,276
2017-01-03 10:25:41.714000-05:00,224.842,10000.0,224.835,140,224.8525,441
2017-01-03 10:25:41.724000-05:00,224.84,15600.0,224.8325,200,224.865,362
2017-01-03 10:30:05.487000-05:00,224.85,1000.0,224.84,40,224.85,20
2017-01-03 10:30:11.395000-05:00,224.84,3000.0,224.82600000000002,180,224.86599999999999,99
2017-01-03 10:30:11.397000-05:00,224.84,18222.0,224.84,10,224.89,49
2017-01-03 10:43:41.939000-05:00,224.9,200.0,224.87,19,224.91,49
2017-01-03 11:02:15.171000-05:00,224.97,30.0,224.94,29,224.97,5
2017-01-03 11:04:02.899000-05:00,224.96,100.0,224.94,40,224.965,7
2017-01-03 11:06:39.873000-05:00,224.99,35.0,224.97,5,224.99,2
2017-01-03 11:06:40.184000-05:00,224.99,200.0,224.97,5,224.99,2
2017-01-03 11:07:23.662000-05:00,224.99,25.0,224.97,5,224.99,2
2017-01-03 11:07:54.421000-05:00,224.99428571428572,750.0,224.97,10,225.0,7
2017-01-03 11:09:45.482000-05:00,225.0,172.0,224.97,20,225.01,59
2017-01-03 11:13:24.154000-05:00,225.03,100.0,225.03000000000003,100,225.07200000000003,100
2017-01-03 11:14:58.485000-05:00,225.05,10.0,225.04666666666668,447,225.10111111111112,255
2017-01-03 11:14:58.486000-05:00,225.10500000000002,450.0,225.0625,157,225.12,88
2017-01-03 11:15:11.515000-05:00,225.12333333333333,1000.0,225.12,74,225.15,21
2017-01-03 11:16:09.894000-05:00,225.18,17.0,225.18,121,225.22,26
2017-01-03 11:16:10.854000-05:00,225.23,100.0,225.195,158,225.2275,28
2017-01-03 11:16:21.145000-05:00,225.21,100.0,225.21,4,225.25,3
2017-01-03 11:20:35.417000-05:00,225.15,50.0,225.15,29,225.16,3
2017-01-03 11:21:56.625000-05:00,225.11,500.0,225.1,37,225.14,5
2017-01-03 11:21:56.645000-05:00,225.1,2000.0,225.1,36,225.14,5
2017-01-03 11:22:15.835000-05:00,225.1,400.0,225.1,50,225.14,38
2017-01-03 11:23:33.722000-05:00,225.1,1800.0,225.09,139,225.13,10
2017-01-03 11:25:34.002000-05:00,225.16,300.0,225.15,30,225.19,20
2017-01-03 11:25:44.731000-05:00,225.16,200.0,225.17,28,225.22,40
2017-01-03 11:26:24.600000-05:00,225.2,50.0,225.16,20,225.22,99
2017-01-03 11:27:52.968000-05:00,225.23,500.0,225.21,3,225.24,10
2017-01-03 11:27:55.737000-05:00,225.23,200.0,225.21,3,225.24,24
2017-01-03 11:27:57.987000-05:00,225.23,200.0,225.21,3,225.24,24
2017-01-03 11:27:59.418000-05:00,225.23,200.0,225.21,3,225.24,24
2017-01-03 11:28:02.227000-05:00,225.23,100.0,225.21,3,225.24,24
2017-01-03 11:29:32.730000-05:00,225.225,1900.0,225.21,6,225.22,40
2017-01-03 11:32:52.227000-05:00,225.22,4700.0,225.21,3,225.22,8
2017-01-03 11:33:26.007000-05:00,225.22,2900.0,225.21,6,225.23,79
2017-01-03 11:33:26.017000-05:00,225.23,2400.0,225.21,3,225.23,6
2017-01-03 11:39:26.248000-05:00,225.23,10.0,225.22,118,225.25,9
2017-01-03 11:39:49.208000-05:00,225.25,350.0,225.26,26,225.3,11
2017-01-03 11:42:53.524000-05:00,225.3,134.0,225.28857142857143,318,225.3057142857143,12
2017-01-03 11:43:13.382000-05:00,225.28,300.0,225.28,32,225.32,29
2017-01-03 11:52:50.377000-05:00,225.28,300.0,225.28,27,225.32,29
2017-01-03 11:56:00.316000-05:00,225.26999999999998,100.0,225.26,44,225.29,5
2017-01-03 11:57:51.734000-05:00,225.26,100.0,225.26,49,225.3,11
2017-01-03 11:57:53.835000-05:00,225.26,100.0,225.26,93,225.3,22
2017-01-03 11:57:55.214000-05:00,225.26,100.0,225.26,44,225.29,5
2017-01-03 11:57:56.844000-05:00,225.26,100.0,225.26,43,225.29,5
2017-01-03 11:58:14.044000-05:00,225.26,500.0,225.26,40,225.29,5
2017-01-03 12:00:09.980000-05:00,225.23,500.0,225.23,5,225.27,59
2017-01-03 12:00:12.750000-05:00,225.23,500.0,225.23,5,225.27,59
2017-01-03 12:00:15.180000-05:00,225.23,500.0,225.22,61,225.26,5
2017-01-03 12:00:25.420000-05:00,225.22,300.0,225.22,37,225.26,28
